idx	n	rmse_e	rmse_f
0	16	0.138940195145988	1.120148994282413
1	24	0.13075752229130003	1.2078079168866258
2	38	0.08804590775411013	0.6174221168562559
3	57	0.04743993918402905	0.3888963228239723
4	89	0.02745614154738872	0.31483067393735154
5	137	0.030222519125855732	0.31069605451440946
6	214	0.015770775893640378	0.18418108230614158
7	333	0.02643783210093438	0.19791817559311084
8	515	0.013036999680403531	0.173718407992651
9	796	0.01184106299939845	0.15974690018306478
11	16	0.2149342232405719	1.6951177884880089
12	24	0.05991716002388618	0.9327310216821743
13	38	0.05746464575077889	0.759730431514558
14	57	0.05153393909991134	0.4741500219625886
15	89	0.02786379885723091	0.32597405302212606
16	137	0.01811668231744375	0.253572851994232
17	214	0.01834763718952839	0.21370429945118463
18	333	0.011797020781096278	0.18091476753363145
19	515	0.012946258330093337	0.1727612391645371
20	796	0.012280031653920278	0.16204382707601664
22	16	0.12360880009218297	1.3753485766567095
23	24	0.16922409170581817	1.1150848207238566
24	38	0.09929008261118419	0.7171059208588861
25	57	0.07201789012841063	0.3844094338679455
26	89	0.029347037539708774	0.3176232943290535
27	137	0.03162143180405191	0.2872500135712966
28	214	0.03199777062585398	0.21692437404698706
29	333	0.024778365324540422	0.1783999578693688
30	515	0.012181025771948571	0.17140860078694695
31	796	0.012381706183303172	0.1581114098884517
33	16	0.11382767377358817	1.6262411016277403
34	24	0.08402839568574692	0.9243961118589836
35	38	0.04376452046708843	0.5310677166484239
36	57	0.0751771059392155	0.4323971313248736
37	89	0.03330363234611386	0.30060471268523187
38	137	0.0362793603005082	0.2720474500798096
39	214	0.03472565926377822	0.21002808148671404
40	333	0.024833480136475336	0.19780259304216635
41	515	0.0133622557088405	0.17282407571162453
42	796	0.01222527327072347	0.16153917373880952
44	16	0.1226194708754487	1.4863221002799798
45	24	0.055188882713042425	0.9506129857039214
46	38	0.13351770219641157	0.7682166610297301
47	57	0.04843450005950422	0.3604779947639098
48	89	0.03071929972213477	0.32381876171083457
49	137	0.02262974328442718	0.2898056606729025
50	214	0.04119358366189632	0.20780185322399095
51	333	0.02993512584132947	0.19796627658112284
52	515	0.01143713231136657	0.16687896692464607
53	796	0.012181892468476894	0.16354514827169894
55	16	0.2621521749478714	1.495850284161589
56	24	0.08044183238451134	0.9644106851474649
57	38	0.06166434351780432	0.7558650965973559
58	57	0.03640628275683361	0.38886528375693163
59	89	0.03230909289695713	0.3130303530631647
60	137	0.01972086351306214	0.29021554234537844
61	214	0.031070118392252627	0.2349566041294461
62	333	0.02134937622080378	0.19328584546267807
63	515	0.014802855113473685	0.1754008359652597
64	796	0.01183349592209202	0.1605763693303477
66	16	0.08355643049497198	1.182700196734509
67	24	0.09358415815755462	0.9259739881499753
68	38	0.055597209994824495	0.5326683948991321
69	57	0.04669451593394858	0.3869856136124824
70	89	0.026031414549188687	0.3825146508096785
71	137	0.04841448054697623	0.2519367180976898
72	214	0.02517326568467987	0.20364629129114833
73	333	0.020563950128241464	0.18314691469173294
74	515	0.012903864052586707	0.17075943175438643
75	796	0.01166921653794921	0.15868581317367408
77	16	0.2232956443955567	1.5231519055824225
78	24	0.3352489227126297	1.2994118314459164
79	38	0.08265223699629234	0.7262270576009019
80	57	0.06406741683732557	0.41868270877055475
81	89	0.040964421064514464	0.46186274118417014
82	137	0.041925719369780776	0.2487376970194461
83	214	0.04287062219842513	0.19446885268586067
84	333	0.022222538083512194	0.21257249369394032
85	515	0.013905258431630318	0.1862817127099122
86	796	0.011401068881273766	0.15770710416843609
88	16	0.1120150480726126	1.415153948693223
89	24	0.12909607089228975	0.8611849201042027
90	38	0.07583095667606289	0.7085028821247871
91	57	0.06858606942495435	0.37682426021972376
92	89	0.027133401250534078	0.3392929418930365
93	137	0.08517392330263893	0.26150441783188966
94	214	0.027095683350973686	0.21040516048693073
95	333	0.023876018741195246	0.19470531642254435
96	515	0.012658116517867883	0.16817937505883904
97	796	0.012553482949528615	0.16369752212364552
99	16	0.42800070276575874	1.5589359288466769
100	24	0.12588431198000039	1.1608342116904784
101	38	0.04751338143180708	0.6360096949656093
102	57	0.0602814546051231	0.36435593315665527
103	89	0.05434390893388341	0.379140513114395
104	137	0.03798560242341667	0.25010422620836914
105	214	0.026144852999317278	0.23027138494448637
106	333	0.01752848631546167	0.19428894003606434
107	515	0.013870910344028282	0.16971915021877337
108	796	0.011544971430838989	0.156278786788906
