idx	n	rmse_e	rmse_f
0	16	0.03060840889171	0.288893968644436
1	24	0.03284924990460162	0.2881708758310855
2	38	0.032900328898418006	0.2670279198488895
3	57	0.021845771357458663	0.21985522741970234
4	89	0.018736415920742978	0.19167998141476247
5	137	0.022094342425525854	0.19312415284695061
6	214	0.017574374107642135	0.1824567405523691
7	333	0.01678175912508574	0.17635449034391956
8	515	0.016714547918319195	0.1734914453589943
9	796	0.01637663806426026	0.17092753862407276
11	16	0.03222934143125936	0.2917299298454277
12	24	0.030482360217973525	0.2881750687425708
13	38	0.026264515113293578	0.23850111313377395
14	57	0.02102791332227482	0.22043689397663785
15	89	0.023686185054026407	0.21608102128587708
16	137	0.021232929743446604	0.18657109444893777
17	214	0.01862898766757132	0.18083464186832882
18	333	0.017290088942296132	0.17571906066360368
19	515	0.017322670815802903	0.17591672746347584
20	796	0.016626326226333785	0.1707219839898837
22	16	0.03239317149114963	0.31436864371805445
23	24	0.031005198694041072	0.28770096867298006
24	38	0.025382544055138085	0.2509630335682023
25	57	0.02251125143830419	0.2126481090866003
26	89	0.020148174516206114	0.20000301261511244
27	137	0.018620943660051226	0.18962123791288144
28	214	0.01791205339688986	0.1884094118709278
29	333	0.01771094154039605	0.178497544060062
30	515	0.016950842726174007	0.17478725362596176
31	796	0.01636883530210424	0.17264576729068742
33	16	0.03981590326995082	0.3034990400908185
34	24	0.029696298731757217	0.2971476615954152
35	38	0.029686917901844224	0.2396377885583954
36	57	0.020846829619814898	0.20591513693211155
37	89	0.022246296052617718	0.20693257834235768
38	137	0.01864434116524046	0.19190228342023838
39	214	0.01788877842283595	0.17801277266093826
40	333	0.016445911280026405	0.17487624035695068
41	515	0.016766906919955058	0.1763725128633353
42	796	0.016800603508247282	0.1716189388624755
44	16	0.03961768519962496	0.3021295997112498
45	24	0.029145968014633077	0.2536357175473835
46	38	0.02719079114934332	0.2674509139937977
47	57	0.02290239426440566	0.2170483817219973
48	89	0.020625682764948236	0.19834386465465273
49	137	0.01846156304342316	0.1857486919382388
50	214	0.01612441454443338	0.178908937136208
51	333	0.016322351677209832	0.1736444994382884
52	515	0.01773643411286781	0.17794637219420034
53	796	0.016495550044371927	0.17081086281518384
55	16	0.03709114192579008	0.27556401521470253
56	24	0.030352600654972747	0.27878228777074016
57	38	0.024796264018770355	0.2356044144021108
58	57	0.022776835796873025	0.21648414125635854
59	89	0.021262424381654765	0.20069515844292388
60	137	0.01874765176279469	0.1948875254530774
61	214	0.017202848939671087	0.18566853959653387
62	333	0.01781764233265835	0.17626065350548928
63	515	0.01682426401965676	0.17741802568836837
64	796	0.017023887836964693	0.17243769753568355
66	16	0.038258395544456494	0.3123728485203294
67	24	0.03873248929441491	0.2767375401209046
68	38	0.02646486334557059	0.24642347654722516
69	57	0.022169997095589065	0.21598645116310225
70	89	0.01927132663119787	0.1948583869841471
71	137	0.020477467285686828	0.1912569044212817
72	214	0.016627479039330345	0.1814504308532689
73	333	0.017346862797811956	0.17859825387231734
74	515	0.017163733360780198	0.1756202100676261
75	796	0.016770617276545993	0.1731150293480289
77	16	0.029485625236682696	0.28778799274436934
78	24	0.02535268059420354	0.2502030797208899
79	38	0.03305725394397246	0.24161495145983716
80	57	0.02291703199604015	0.21129291321324126
81	89	0.01856064211569762	0.20374955943507284
82	137	0.020507832758835987	0.1936821921048235
83	214	0.019094652488589173	0.18600316121373242
84	333	0.017318750248583443	0.178860487407936
85	515	0.01665729709063762	0.17561244680446
86	796	0.016222052370012327	0.17040867228754666
88	16	0.036437661144924825	0.3061205938478287
89	24	0.025019689082889783	0.27676671667670955
90	38	0.02523415965021136	0.2321276205320381
91	57	0.027007684395928717	0.23702406471593696
92	89	0.02063580217685719	0.19505464143763726
93	137	0.01917396521398582	0.18662035915026343
94	214	0.0172166601421716	0.17663140202649433
95	333	0.017308540535429618	0.17520336843274134
96	515	0.01712777598548765	0.17684470089306928
97	796	0.016601263067640357	0.17317043952133146
99	16	0.031489069591566624	0.2822091690510362
100	24	0.026452360356046607	0.263746420571098
101	38	0.0268628377977824	0.24411922479280487
102	57	0.02053023837075277	0.21002551266125466
103	89	0.020356608074312506	0.19179032004728716
104	137	0.02005345970958561	0.19600010025113448
105	214	0.01764236169955035	0.17568342774361875
106	333	0.01755801980444901	0.17868419167959204
107	515	0.016908786357635743	0.17592810356815225
108	796	0.01633031602147073	0.1714684773258879
